Column1,name,dist,year,jewish_pop,total_pop,name_heb,dist_heb
776,Rzeszów,,1890,5492,11953,ז'שוב,ריישא
891,Majdan,Kolbuszowa District,1880,568,11856,מַאיְדַאן,נפת קולבושובה
1138,Gródek Jagielloński,Gródek Jagielloński,1900,3610,11845,גרוּדֶק יאגיילונסקי,נפת גרודק יאגיילונסקי
1281,Złoczów,Złoczów,1900,5401,11842,זלוצ'וב,נפת זלוצ'וב
522,Radomsko,,1897,5054,11767,ראדומסקו,נובו ראדומסקו
1031,Buczacz,Powiat Buczacz,1900,6730,11756,בוצ'אץ,נפת בוצ'אץ
1575,Stanisławów,Stanisławów,1857,6920,11682,סטאניסלאבוב,נפת סטאניסלאבוב
272,Łowicz,Powiat Łowicz,1908,4011,11614,לוביץ',נפת לוביץ'
1194,Horodenka,,1900,4255,11613,הורודנקה,נפת הורודנקה
1559,Sokal,,1910,4516,11609,סוקאל,נפת סוקאל
12,Ozorków,Łęczyca,1897,5837,11531,אוזורקוב,נפת לנצ'יצה
789,Chrzanów,Chrzanów,1910,6593,11528,חְטָאנוּב,נפת חשאנוב
477,Kolo,,1921,5159,11450,קולו,נפת קולו
1073,Brzeżany,Nפת Brzeżany,1900,4395,11443,בז'ז'אני,נפת בז'ז'אני
845,Jarosław,Jarosław,1880,4474,11422,יָארוֹסְלַאב,יארוסלאב
790,Chrzanów,Chrzanów,1921,6328,11392,חְטָאנוּב,נפת חשאנוב
807,Tarnowskie Góry,Tarnowskie Góry,1897,506,11281,טַארְנוֹבְסקֶיה גוּרִי,נפת טאדנובסקיה גודי
1195,Horodenka,,1910,4210,11223,הורודנקה,נפת הורודנקה
1072,Brzeżany,Nפת Brzeżany,1890,4695,11221,בז'ז'אני,נפת בז'ז'אני
775,Rzeszów,,1880,5820,11166,ז'שוב,ריישא
1193,Horodenka,,1890,4340,11162,הורודנקה,נפת הורודנקה
1283,Złoczów,Złoczów,1921,5744,11130,זלוצ'וב,נפת זלוצ'וב
1030,Buczacz,Powiat Buczacz,1890,6976,11096,בוצ'אץ,נפת בוצ'אץ
185,Wieluń,Wieluń,1921,4818,11032,ויילון,נפת ויילון
617,Bochnia,Bochnia,1921,2459,11014,בּוֹחְנִיָה,נפת בוחניה
616,Bochnia,Bochnia,1910,2091,10918,בּוֹחְנִיָה,נפת בוחניה
1333,Turka,Turka,1910,4887,10911,טורקה,נפת טורקה
1071,Brzeżany,Nפת Brzeżany,1880,4712,10899,בז'ז'אני,נפת בז'ז'אני
1574,Stanisławów,Stanisławów,1847,5958,10866,סטאניסלאבוב,נפת סטאניסלאבוב
1108,Brody,,1921,7202,10860,ברודי,נפת ברודי
1137,Gródek Jagielloński,Gródek Jagielloński,1890,3148,10742,גרוּדֶק יאגיילונסקי,נפת גרודק יאגיילונסקי
1042,Borysław,Drohobych district,1900,5950,10690,בוריסלאב,נפת דרוהוביץ'
