Column1,name,dist,year,jewish_pop,total_pop,name_heb,dist_heb
882,Leżajsk,Łańcut,1890,1745,4992,ליז'נסק,נפת לאנצוט
721,Wadowice,Wadowice,1880,404,4990,וַאדוֹבִיצֶה,נפת ואדוביצה
1184,Halicz,Stanislavov,1910,1232,4987,האליץ',נפת סטאניסלאבוב
906,Mielec,,1880,2766,4981,מיילץ,נפת מיילץ
27,Opoczno,Opoczno,1878,2412,4975,אופוצ'נו,נפת אופוצ'נו
1094,Belz,Sokal,1890,2823,4960,בלז,נפת סוקאל
881,Leżajsk,Łańcut,1880,1868,4945,ליז'נסק,נפת לאנצוט
945,Ottynia,Tlumach,1900,2081,4940,אוטיניה,נפת טלומאץ'
985,Bóbrka,Bóbrka district,1890,2395,4939,בוברקה,נפת בוברקה
1641,Brzeziny,,1857,2370,4933,בז'ז'יני,נפת בז'ז'יני
1595,Stary Sambor,,1910,1827,4931,סטארי סאמבור,נפת סאמבור
933,Obertyn,Horodenka,1880,1949,4924,אוֹברטין,נפת הורודנקה
908,Mielec,,1900,2819,4909,מיילץ,נפת מיילץ
1131,Gliniany,Przemyślany,1900,2177,4909,גליניאני,פשמישלאני
224,Złoczew,Sieradz District,1921,1959,4904,זלוצ'ב,נפת שייראדז
1053,Bursztyn,Rohatyn,1910,2245,4896,בורשטין,נפת רוהאטין
767,Żywiec,"Napt Żywiec, Mchuz Kraków",1900,0,4892,ז'יווייץ,"נפת ז'יווייץ, מחוז קראקוב"
264,Lask,Lask,1921,2623,4890,לאסק,נפת לאסק
1519,Niżniów,Tłumacz,1900,409,4887,ניז'ניוב,נפת טלומאץ'
