Location,dist,region,country,North,East,Alternative Name,county1900
Bad Koenigswart (Lazne Kynzvart), Cheb, Karlovarsky, Czech Republic,500039,123729,Läzne Kynzvart,Austrian Empire
Baern (Moravsky Beroun), Olomouc, Olomoucky, Czech Republic,494737,172632,Moravský Beroun,Austrian Empire
Baislawitz (Zbyslavice), Ostrava-mesto, Moravskoslezsky, Czech Republic,494819,180432,Zbyslavice,Austrian Empire
Barau (Bavorov), Strakonice, Jihocesky, Czech Republic,490719,140444,Bavorov,Austrian Empire
Barringen (Pernink), Karlovy Vary, Karlovarsky, Czech Republic,502157,124702,Pernink,Austrian Empire
Bartelsdorf (Bartovice), Ostrava-mesto, Moravskoslezsky, Czech Republic,494751,182124,Bartovice,Austrian Empire
Bartelsdorf (Partutovice), Prerov, Olomoucky, Czech Republic,493753,174219,Partutovice,Austrian Empire
Barzdorf (Bernartice), Jesenik, Olomoucky, Czech Republic,502321,170440,Bernartice,Austrian Empire
Batnowitz (Batnovice), Trutnov, Kralovehradecky, Czech Republic,503103,160212,Batnovice,Austrian Empire
Bauschowitz an der Eger (Bohusovice nad Ohri), Litomerice, Ustecky, Czech Republic,502936,140902,Bohusovice nad Ohri,Austrian Empire
Bautsch (Budisov nad Budisovkou), Opava, Moravskoslezsky, Czech Republic,494742,173747,Budišov nad Budišovkou,Austrian Empire
Bechin (Bechyne), Tabor, Jihocesky, Czech Republic,491743,142805,Bechyne,Austrian Empire
Bechlin (Bechlin), Litomerice, Ustecky, Czech Republic,502458,142028,Bechlín,Austrian Empire
Bedihost (Bedihost), Prostejov, Olomoucky, Czech Republic,492654,170959,Bedihost',Austrian Empire
Bejchor (Bychory), Kolín, Stredocesky, Czech Republic,500404,151625,Býchory,Austrian Empire
Bejstroschitz (Bystrocice), Olomouc, Olomoucky, Czech Republic,493211,171137,Bystrocice,Austrian Empire
Benecko (Benecko), Semily, Liberecky, Czech Republic,503959,153254,Benecko,Austrian Empire
Beneschau (Benesov), Benešov, Stredocesky, Czech Republic,494654,144113,Benešov,Austrian Empire
Beneschau (Dolni Benesov), Opava, Moravskoslezsky, Czech Republic,495516,180630,Dolní Benešov,Austrian Empire
Beneschau (Benesov nad Cernou), Cesky Krumlov, Jihocesky, Czech Republic,484346,143739,Benesov nad Cernou,Austrian Empire
Beneschau (Benesov u Semil), Semily, Liberecky, Czech Republic,503612,152206,Benešov u Semil,Austrian Empire
Beniow (Benov), Prerov, Olomoucky, Czech Republic,492503,173005,Benov,Austrian Empire
Bennisch (Horni Benesov), Bruntal, Moravskoslezsky, Czech Republic,495800,173610,Horní Benešov,Austrian Empire
Bensen (Benesov nad Ploucnici), Decin, Ustecky, Czech Republic,504430,141845,Benesov nad Ploucnici,Austrian Empire
Beraun (Beroun), Beroun, Stredocesky, Czech Republic,495750,140419,Beroun,Austrian Empire
Bergstadt (Horni Mesto), Bruntal, Moravskoslezsky, Czech Republic,495430,171240,Horni Mesto,Austrian Empire
Bergstadt Ratiboritz (Ratiborske Hory), Tabor, Jihocesky, Czech Republic,492746,144611,Ratiborske Hory,Austrian Empire
Bergstadtl (Horky), Tabor, Jihocesky, Czech Republic,492350,143850,Horky,Austrian Empire
Berlau (Brloh), Cesky Krumlov, Jihocesky, Czech Republic,485548,141307,Brloh,Austrian Empire
Bernarditz (Bernartice), Pisek, Jihocesky, Czech Republic,492208,142252,Bernartice,Austrian Empire
Bernsdorf (Bernartice nad Odrou), Novy Jicin, Moravskoslezsky, Czech Republic,493636,175652,Bernartice nad Odrou,Austrian Empire
Bernsdorf (Bernartice), Trutnov, Kralovehradecky, Czech Republic,503847,155753,Bernartice,Austrian Empire
Berschkowitz (Horni Berkovice), Litomerice, Ustecky, Czech Republic,502131,142046,Horni Berkovice,Austrian Empire
Berzdorf (Ostasov), Liberec, Liberecky, Czech Republic,504602,150040,Ostašov,Austrian Empire
Berzdorf b. Friedland (Pertoltice), Liberec, Liberecky, Czech Republic,505850,150437,Pertoltice,Austrian Empire
Bessenitz (Besednice), Cesky Krumlov, Jihocesky, Czech Republic,484724,143325,Besednice,Austrian Empire
Betschwar (Becvary), Kolín, Stredocesky, Czech Republic,495724,150448,Becvary,Austrian Empire
Bezmirau (Bezmerov), Kromeriz, Zlinsky, Czech Republic,491947,172005,Bezmerov,Austrian Empire
Bida (Borek), Ceske Budejovice, Jihocesky, Czech Republic,490124,143003,Borek,Austrian Empire
Biela (Bela), Decin, Ustecky, Czech Republic,504725,141041,Bela,Austrian Empire
Bielau (Bela ), Opava, Moravskoslezsky, Czech Republic,495820,180842,Bela,Austrian Empire
Bielau (Bilov), Novy Jicin, Moravskoslezsky, Czech Republic,494403,180006,Bílov,Austrian Empire
Bielau (Bela nad Svitavou), Svitavy, Pardubicky, Czech Republic,493813,162926,Bela nad Svitavou,Austrian Empire
Bielkowitz-Laschtian (Belkovice-Lastany), Olomouc, Olomoucky, Czech Republic,494007,171902,Belkovice-Lastany,Austrian Empire
Bielohrad (Lazne Belohrad), Jicin, Kralovehradecky, Czech Republic,502544,153458,Lazne Belohrad,Austrian Empire
Bielowes (Beloves), Nachod, Kralovehradecky, Czech Republic,502500,161100,Beloves,Austrian Empire
Bieltschitz (Belcice), Strakonice, Jihocesky, Czech Republic,493009,135233,Belcice,Austrian Empire
Bienendorf (Vcelna), Ceske Budejovice, Jihocesky, Czech Republic,485526,142714,Vcelna,Austrian Empire
Bilai (Bila), Liberec, Liberecky, Czech Republic,503954,150208,Bílá,Austrian Empire
Bilin (Bilina), Teplice, Ustecky, Czech Republic,503255,134632,Bílina,Austrian Empire
Birkigt (Breziny), Decin, Ustecky, Czech Republic,504548,141442,Breziny,Austrian Empire
Birnai (Brna), Usti nad Labem, Ustecky, Czech Republic,503711,140445,Brná,Austrian Empire
Bistritz (Bystrice), Benešov, Stredocesky, Czech Republic,494356,144003,Bystrice,Austrian Empire
Bladowitz (Mladejovice), Olomouc, Olomoucky, Czech Republic,494509,171353,Mladejovice,Austrian Empire
Blatna (Blatna), Strakonice, Jihocesky, Czech Republic,492530,135254,Blatná,Austrian Empire
Blatze (Blatec), Olomouc, Olomoucky, Czech Republic,493142,171419,Blatec,Austrian Empire
Blauda (Bludov), Sumperk, Olomoucky, Czech Republic,495627,165543,Bludov,Austrian Empire
Bleich (Belidla), Olomouc, Olomoucky, Czech Republic,493556,171702,Belidla,Austrian Empire
Bleistadt (Olovi), Sokolov, Karlovarsky, Czech Republic,501505,123332,Oloví,Austrian Empire
Bleiswedel (Blizevedly), Ceska Lipa, Liberecky, Czech Republic,503631,142348,Blíževedly,Austrian Empire
Bobrownik (Bobrovniky), Opava, Moravskoslezsky, Czech Republic,495218,181237,Bobrovníky,Austrian Empire
Bochorz (Bochor), Prerov, Olomoucky, Czech Republic,492517,172542,Bochor,Austrian Empire
Bodenbach (Podmokly), Decin, Ustecky, Czech Republic,504628,141156,Podmokly,Austrian Empire
Bodenstadt (Potstat), Prerov, Olomoucky, Czech Republic,493813,173906,Potštát,Austrian Empire
Boehmisch Aicha (Cesky Dub), Liberec, Liberecky, Czech Republic,503932,145949,Cesky Dub,Austrian Empire
Boehmisch Brod (Cesky Brod), Kolín, Stredocesky, Czech Republic,500427,145139,Cesky Brod,Austrian Empire
Boehmisch Kahn (Velke Chvojno), Usti nad Labem, Ustecky, Czech Republic,504354,140213,Velké Chvojno,Austrian Empire
Boehmisch Kamnitz (Ceska Kamenice), Decin, Ustecky, Czech Republic,504752,142504,Ceska Kamenice,Austrian Empire
Boehmisch Kopist (Ceske Kopisty), Litomerice, Ustecky, Czech Republic,503129,141005,Ceske Kopisty,Austrian Empire
Boehmisch Liebau (Dolni Libina), Sumperk, Olomoucky, Czech Republic,495129,170634,Dolní Libina,Austrian Empire
Boehmisch Rudoletz (Cesky Rudolec), Jindrichuv Hradec, Jihocesky, Czech Republic,490406,151928,Cesky Rudolec,Austrian Empire
Boehmisch Skalitz (Ceska Skalice), Nachod, Kralovehradecky, Czech Republic,502341,160234,Ceska Skalice,Austrian Empire
Boehmisch Tscherma (Ceska Cermna), Nachod, Kralovehradecky, Czech Republic,502403,161346,Ceska Cermna,Austrian Empire
Boehmischdorf (Ceska Ves), Jesenik, Olomoucky, Czech Republic,501527,171341,Ceska Ves,Austrian Empire
Boehmischhause (Moravska Huzova), Olomouc, Olomoucky, Czech Republic,494140,171436,Moravská Huzová,Austrian Empire
Boelten (Belotin), Prerov, Olomoucky, Czech Republic,493520,174802,Belotin,Austrian Empire
Boemisch Lipa (Ceska Lipa), Ceska Lipa, Liberecky, Czech Republic,504100,143208,Ceska Lipa,Austrian Empire
Boesig an der Mettau (Bezdekov nad Metuji), Nachod, Kralovehradecky, Czech Republic,503035,161346,Bezdekov nad Metuji,Austrian Empire
Boharna (Boharyne), Hradec Kralove, Kralovehradecky, Czech Republic,501214,153751,Boharyne,Austrian Empire
Böhmisch Meseritsch (Ceske Mezirici), Rychov nad Kneznou, Kralovehradecky, Czech Republic,501713,160240,Ceske Mezirici,Austrian Empire
Bohuslawitz (Bohuslavice), Nachod, Kralovehradecky, Czech Republic,501846,160519,Bohuslavice,Austrian Empire
Bohuslawitz (Bohuslavice), Sumperk, Olomoucky, Czech Republic,494934,165626,Bohuslavice,Austrian Empire
Bohutin (Bohutin), Sumperk, Olomoucky, Czech Republic,495713,165255,Bohutín,Austrian Empire
Bolatitz (Bolatice), Opava, Moravskoslezsky, Czech Republic,495706,180501,Bolatice,Austrian Empire
Bolehoscht (Bolehost), Rychov nad Kneznou, Kralovehradecky, Czech Republic,501249,160437,Bolehost',Austrian Empire
Boniowitz (Bohunovice), Olomouc, Olomoucky, Czech Republic,493947,171713,Bohunovice,Austrian Empire
Borahradek (Borohradek), Rychov nad Kneznou, Kralovehradecky, Czech Republic,500552,160536,Borohrádek,Austrian Empire
Bordowitz (Bordovice), Novy Jicin, Moravskoslezsky, Czech Republic,493249,180910,Bordovice,Austrian Empire
Borotin (Borotin), Tabor, Jihocesky, Czech Republic,493018,143647,Borotín,Austrian Empire
Boskow (Bozkov), Semily, Liberecky, Czech Republic,503824,152014,Bozkov,Austrian Empire
Botenwald (Butovice), Novy Jicin, Moravskoslezsky, Czech Republic,494313,180204,Butovice,Austrian Empire
Brandeisk (Brandysek), Kladno, Stredocesky, Czech Republic,501122,140943,Brandýsek,Austrian Empire
Branka (Branka u Opavy), Opava, Moravskoslezsky, Czech Republic,495317,175258,Branka u Opavy,Austrian Empire
Branna (Horni Branna), Semily, Liberecky, Czech Republic,503630,153418,Horní Branná,Austrian Empire
Bransdorf (Brantice), Bruntal, Moravskoslezsky, Czech Republic,500349,173745,Brantice,Austrian Empire
Braskow (Braskov), Kladno, Stredocesky, Czech Republic,500608,140603,Braškov,Austrian Empire
Bratronitz (Bratronice), Kladno, Stredocesky, Czech Republic,500404,140051,Bratronice,Austrian Empire
Braum (Broumy), Beroun, Stredocesky, Czech Republic,495719,135108,Broumy,Austrian Empire
Braunau (Broumov), Nachod, Kralovehradecky, Czech Republic,503500,162000,Broumov,Austrian Empire
Braunsdorf (Brumovice ), Opava, Moravskoslezsky, Czech Republic,500055,174459,Brumovice,Austrian Empire
Braunseifen (Ryzoviste), Bruntal, Moravskoslezsky, Czech Republic,495231,172135,Ryzoviste,Austrian Empire
Breitenau (Siroka Niva), Bruntal, Moravskoslezsky, Czech Republic,500403,172907,Široká Niva,Austrian Empire
Bretschan (Brezany II), Kolín, Stredocesky, Czech Republic,500538,144816,Brezany II,Austrian Empire
Brezhrad (Brezhrad), Hradec Kralove, Kralovehradecky, Czech Republic,501031,154730,Brezhrad,Austrian Empire
Briesau (Brezova ), Opava, Moravskoslezsky, Czech Republic,494730,175156,Brezova,Austrian Empire
Brilice (Brilice), Jindrichuv Hradec, Jihocesky, Czech Republic,491500,144429,Brilice,Austrian Empire
Brims (Brniste), Ceska Lipa, Liberecky, Czech Republic,504345,144213,Brniste,Austrian Empire
Brodek (Brodek u Prerova), Prerov, Olomoucky, Czech Republic,492903,172018,Brodek u Prerova,Austrian Empire
Brodek (Brodek u Konice), Prostejov, Olomoucky, Czech Republic,493255,164958,Brodek u Konice,Austrian Empire
Brosdorf (Bravantice), Novy Jicin, Moravskoslezsky, Czech Republic,494526,180458,Bravantice,Austrian Empire
Brozan (Brozany nad Ohri), Litomerice, Ustecky, Czech Republic,502713,140844,Brozany nad Ohri,Austrian Empire
Bruch (Lom), Most, Ustecky, Czech Republic,503536,133927,Lom,Austrian Empire
Bruenn (Brno), Brno-Mesto, Jihomoravsky, Czech Republic,491200,163600,Brno,Austrian Empire
Bruex (Most), Most, Ustecky, Czech Republic,503011,133812,Most,Austrian Empire
Brzest (Brest), Kromeriz, Zlinsky, Czech Republic,492101,172627,Brest,Austrian Empire
Bubowitz (Bubovice), Beroun, Stredocesky, Czech Republic,495811,141000,Bubovice,Austrian Empire
Buchau (Bochov), Karlovy Vary, Karlovarsky, Czech Republic,500904,130243,Bochov,Austrian Empire
Buchelsdorf (Bukovice), Jesenik, Olomoucky, Czech Republic,501308,171241,Bukovice,Austrian Empire
Buckwa (Bukovany), Sokolov, Karlovarsky, Czech Republic,500959,123422,Bukovany,Austrian Empire
Budin (Budyne nad Ohri), Litomerice, Ustecky, Czech Republic,502416,140734,Budyne nad Ohri,Austrian Empire
Budischkowitz (Budiskovice), Jindrichuv Hradec, Jihocesky, Czech Republic,490435,153151,Budíškovice,Austrian Empire
Budischowitz (Budisovice), Opava, Moravskoslezsky, Czech Republic,495141,180223,Budišovice,Austrian Empire
Budnau (Karlstejn), Beroun, Stredocesky, Czech Republic,495615,141110,Karlštejn,Austrian Empire
Budweis (Ceske Budejovice), Ceske Budejovice, Jihocesky, Czech Republic,485830,142840,Ceske Budejovice,Austrian Empire
Buenauburg (Bynov), Decin, Ustecky, Czech Republic,504658,140904,Bynov,Austrian Empire
Buergstein (Sloup v Cechach), Ceska Lipa, Liberecky, Czech Republic,504420,143520,Sloup v Cechach,Austrian Empire
Bukowan (Bukovany), Benešov, Stredocesky, Czech Republic,494922,143728,Bukovany,Austrian Empire
Bukowan (Bukovany), Olomouc, Olomoucky, Czech Republic,493619,172037,Bukovany,Austrian Empire
Bukowina (Mirova pod Kozakovem), Semily, Liberecky, Czech Republic,503530,151140,Mírová pod Kozákovem,Austrian Empire
Bukowsko (Dolni Bukovsko), Ceske Budejovice, Jihocesky, Czech Republic,491015,143453,Dolní Bukovsko,Austrian Empire
Bullendorf (Bulovka), Liberec, Liberecky, Czech Republic,505816,150725,Bulovka,Austrian Empire
Busau (Bouzov), Olomouc, Olomoucky, Czech Republic,494215,165335,Bouzov,Austrian Empire
Buschtiehrad (Bustehrad), Kladno, Stredocesky, Czech Republic,500922,141121,Bustehrad,Austrian Empire
Buschullersdorf (Oldrichov v Hajich), Liberec, Liberecky, Czech Republic,505059,150502,Oldrichov v Hajich,Austrian Empire
Buslawitz (Bohuslavice ), Opava, Moravskoslezsky, Czech Republic,495632,180743,Bohuslavice,Austrian Empire
Bystritz am Hostein (Bystrice pod Hostynem), Kromeriz, Zlinsky, Czech Republic,492357,174027,Bystrice pod Hostynem,Austrian Empire
Bystrowan (Bystrovany), Olomouc, Olomoucky, Czech Republic,493549,171925,Bystrovany,Austrian Empire
Ceititz (Cejetice), Strakonice, Jihocesky, Czech Republic,491510,140113,Cejetice,Austrian Empire
