line,page,hb,gb,name,school,sanitaty,isr,grk,rk,parish_dist
2,827,Biala,Auschwitz,Babice,Babice,,Auschwitz,,,rk.|isr. Auschwitz
3,827,Biala,Auschwitz,Broszkowice,Broszkowice,,Auschwitz,,,rk.|isr. Auschwitz
4,827,Biala,Auschwitz,Brzeszcze,Brzeszcze,,Auschwitz,," Brzeszcze,Auschwitz","rk. Brzeszcze,Auschwitz|isr. Auschwitz"
5,827,Biala,Auschwitz,Brzezinka,Brzezinka,,Auschwitz,,,rk.|isr. Auschwitz
6,827,Biala,Auschwitz,Dwory,Dwory,,Auschwitz,," Auschwitz,Włosienica","rk. Auschwitz,Włosienica|isr. Auschwitz"
7,827,Biala,Auschwitz,Grojec,Grojec,,Auschwitz,,Grojec,rk. Grojec|isr. Auschwitz
8,827,Biala,Auschwitz,Harmęże,,,Auschwitz,,,rk.|isr. Auschwitz
9,827,Biala,Auschwitz,Jawiszowice,Jawiszowice,,Auschwitz,,Jawiszowice,rk. Jawiszowice|isr. Auschwitz
10,827,Biala,Auschwitz,Klucznikowice,,,Auschwitz,,,rk.|isr. Auschwitz
11,827,Biala,Auschwitz,Kruki,,,Auschwitz,,,rk.|isr. Auschwitz
12,827,Biala,Auschwitz,Łazy,Grojec,,Auschwitz,,Grojee,rk. Grojee|isr. Auschwitz
13,827,Biala,Auschwitz,Monowice,Monowice,,Auschwitz,,Włosienica,rk. Włosienica|isr. Auschwitz
14,827,Biala,Auschwitz,Pławy,,,Auschwitz,,,rk.|isr. Auschwitz
15,827,Biala,Auschwitz,Polanka Wielka,Polanka Wielka,,Auschwitz,,Polanka Wielka,rk. Polanka Wielka|isr. Auschwitz
16,827,Biala,Auschwitz,Poręba Wielka,Poręba Wielka,,Auschwitz,,Poręba Wielka,rk. Poręba Wielka|isr. Auschwitz
17,827,Biala,Auschwitz,Przecieszyn,,,Auschwitz,,,rk.|isr. Auschwitz
18,827,Biala,Auschwitz,Rajsko,Rajsko,,Auschwitz,,,rk.|isr. Auschwitz
19,827,Biala,Auschwitz,Skidzin,,,Auschwitz,,,rk.|isr. Auschwitz
20,827,Biala,Auschwitz,Stawy Stare,,,Auschwitz,,,rk.|isr. Auschwitz
21,827,Biala,Auschwitz,Wilczkowice,,,Auschwitz,,,rk.|isr. Auschwitz
22,827,Biala,Auschwitz,Włosienica,Włosienica,,Auschwitz,,Włosienica,rk. Włosienica|isr. Auschwitz
23,827,Biala,Auschwitz,Zaborze,,,Auschwitz,,Grojec,rk. Grojec|isr. Auschwitz
24,827,Biala,Biala,Bestwina,Bestwina,,Lipnik,,Bestwina,rk. Bestwina|isr. Lipnik
25,827,Biala,Biala,Bestwinka,Bestwina,,Auschwitz,,Bestwina,rk. Bestwina|isr. Auschwitz
26,827,Biala,Biala,Biala,Biala: 5,,Lipnik,,Biała,rk. Biała|isr. Lipnik
27,827,Biala,Biala,Bör Łodygowski,,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
28,827,Biala,Biala,Bór Wilkowski,,,Lipnik,,Wilkowice,rk. Wilkowice|isr. Lipnik
29,827,Biala,Biala,Buczkowice,Buczkowice,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
30,827,Biala,Biala,Bystra,Bystra,,Lipnik,,Wilkowice.,rk. Wilkowice.|isr. Lipnik
31,827,Biala,Biala,Dankowice,Dankowice,,Auschwitz,,Dankowice,rk. Dankowice|isr. Auschwitz
32,827,Biala,Biala,Godziska Nowa,Godziska Wilkowska,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
33,827,Biala,Biala,Godziska Stara,Godziska Wilkowska,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
34,827,Biala,Biala,Godziska Wilkowska,Godziska Wilkowska,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
35,827,Biala,Biala,Hałenów,Halenów,,Lipnik,,Hałenów,rk. Hałenów|isr. Lipnik
36,827,Biala,Biala,Hucisko,,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
37,827,Biala,Biala,Janowice,Janowice,,Lipnik,,Bestwina,rk. Bestwina|isr. Lipnik
38,827,Biala,Biala,Kalna,Kalna,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
39,827,Biala,Biala,Kaniów Stary,Kaniów Stary,,Auschwitz,,Kaniów Stary,rk. Kaniów Stary|isr. Auschwitz
40,827,Biala,Biala,Komorowice,Komorowice,,Lipnik,,Komorowice,rk. Komorowice|isr. Lipnik
41,827,Biala,Biala,Kozy,Kozy,,Lipnik,,Kozy,rk. Kozy|isr. Lipnik
42,827,Biala,Biala,Lipnik,Lipnik: 4,,Lipnik,,,rk.|isr. Lipnik
43,827,Biala,Biala,Meszna,Meszna,,Lipnik,,Wilkowice,rk. Wilkowice|isr. Lipnik
44,827,Biala,Biala,Międzybrodzie Lipnickie,Międzybrodzie Lipnickie,,Lipnik,,Międzybrodzie Lipnickie,rk. Międzybrodzie Lipnickie|isr. Lipnik
45,827,Biala,Biala,Mikuszowice,Mikuszowice,,Lipnik,,Mikuszowice,rk. Mikuszowice|isr. Lipnik
46,827,Biala,Biala,Rybarzowice,,,Lipnik,,Łodygowice (BH: Saybusch),rk. Łodygowice (BH: Saybusch)|isr. Lipnik
47,827,Biala,Biala,Salmopol,,,Lipnik,,Szczyrk,rk. Szczyrk|isr. Lipnik
48,827,Biala,Biala,Straconka,Straconka,,Lipnik,,Straconka,rk. Straconka|isr. Lipnik
49,827,Biala,Biala,Szczyrk,Szczyrk,,Lipnik,,Szczyrk,rk. Szczyrk|isr. Lipnik
50,827,Biala,Biala,Wilkowice,Wilkowice,,Lipnik,,Wilkowice,rk. Wilkowice|isr. Lipnik
51,828,Biala,Kęty,Bielany,Bielany,,Kęty,,Bielany,rk. Bielany|isr. Kęty
52,828,Biala,Kęty,Bujaków,Bujaków,,Kęty,,Kozy,rk. Kozy|isr. Kęty
53,828,Biala,Kęty,Bulowice,Bulowice,,Kęty,,Bulowice,rk. Bulowice|isr. Kęty
54,828,Biala,Kęty,Czaniec,Czaniec,,Kęty,,Czaniec,rk. Czaniec|isr. Kęty
55,828,Biala,Kęty,Hecznarowice,Hecznarowice,,Kety,,Pisarzowice,rk. Pisarzowice|isr. Kety
56,828,Biala,Kęty,Kańczuga,Kańczuga,,Kęty,," Bielany,Kęty","rk. Bielany,Kęty|isr. Kęty"
57,828,Biala,Kęty,Kety,Kety : 2,,Kęty,,,rk.|isr. Kęty
58,828,Biala,Kęty,Kobiernice,Kobiernice,,Kęty,,,rk.|isr. Kęty
59,828,Biala,Kęty,Leki,Leki,,Kęty,,Bielany,rk. Bielany|isr. Kęty
60,828,Biala,Kęty,Malec,Malec,,Kęty,,Osiek,rk. Osiek|isr. Kęty
61,828,Biala,Kęty,Międzybrodzie Kobiernickie,Międzybrodzie Lipnickie,,Kęty,,Międzybrodzie Lipnickie,rk. Międzybrodzie Lipnickie|isr. Kęty
62,828,Biala,Kęty,Nowa Wieś,Nowa Wieś,,Kęty,,,rk.|isr. Kęty
63,828,Biala,Kęty,Osiek,Osiek,,Kęty,,Osiek,rk. Osiek|isr. Kęty
64,828,Biala,Kęty,Pisarzowice,Pisarzowice,,Kęty,,Pisarzowice,rk. Pisarzowice|isr. Kęty
65,828,Biala,Kęty,Porąbka,Porąbka,,Kęty,,Czaniec,rk. Czaniec|isr. Kęty
66,828,Biala,Kęty,Stara Wieś Dolna,Stara Wieś Dolna,,Kęty,,Stara Wieś Dolna,rk. Stara Wieś Dolna|isr. Kęty
67,828,Biala,Kęty,Stara Wieś Górna,Stara Wieś Dolna,,Kęty,,Stara Wieś Dolna,rk. Stara Wieś Dolna|isr. Kęty
68,828,Biala,Kęty,Wilamowice,Wilamowice,,Kęty,,Wilamowice,rk. Wilamowice|isr. Kęty
69,828,Biala,Kęty,Witkowice,Witkowice,,Kęty,,Witkowice,rk. Witkowice|isr. Kęty
70,828,Bóbrka,Bóbrka,Bakowce,Bakowce,,Strzeliska Nowe,Bakowce,Sokołówka,rk. Sokołówka|grk. Bakowce|isr. Strzeliska Nowe
71,828,Bóbrka,Bóbrka,Berteszów,Berteszów,,Strzeliska Nowe,Dziewiętniki,Sokołówka,rk. Sokołówka|grk. Dziewiętniki|isr. Strzeliska Nowe
72,828,Bóbrka,Bóbrka,Böbrka,(Bóbrka : 2 Szpilczyna (Gm. Bóbrka),,Bóbrka,,,rk.|grk.|isr. Bóbrka
73,828,Bóbrka,Bóbrka,Borusów,Borusów,,Brzozdowce,Borusów,,rk.|isr. Brzozdowce|grk. Borusów
74,828,Bóbrka,Bóbrka,Bryńce Cerkiewne,,,Bóbrka,Wybranówka,Sokołówka,rk. Sokołówka|grk. Wybranówka|isr. Bóbrka
75,828,Bóbrka,Bóbrka,Bryńce Zagórne,Bryńce Zagórne,,Bóbrka,Wybranówka,Sokołówka,rk. Sokołówka|grk. Wybranówka|isr. Bóbrka
76,828,Bóbrka,Bóbrka,Budków,Budków,,Bóbrka,Podmanasterz,Stare Sioło,rk. Stare Sioło|grk. Podmanasterz|isr. Bóbrka
77,828,Bóbrka,Bóbrka,Chlebowice Wielkie,Chlebowice Wielkie : 2,,Bóbrka,Chlebowice Wielkie," Sokołówka,Stare Sioło","rk. Sokołówka,Stare Sioło|grk. Chlebowice Wielkie|isr. Bóbrka"
78,828,Bóbrka,Bóbrka,Choderkowce,,,Bóbrka,Sokołówka,,rk.|grk. Sokołówka|isr. Bóbrka
79,828,Bóbrka,Bóbrka,Czyżyce,Czyżyce,,Bóbrka,Wybranówka,Brzozdowee,rk. Brzozdowee|grk. Wybranówka|isr. Bóbrka
80,828,Bóbrka,Bóbrka,Dziewiętniki,Dziewiętniki,,Strzeliska Nowe,Dziewiętniki,Sokołówka,rk. Sokołówka|grk. Dziewiętniki|isr. Strzeliska Nowe
81,828,Bóbrka,Bóbrka,Dźwinogród,Dźwinogród,,Mikołajow,Dźwinogród,Stare Sioło,rk. Stare Sioło|grk. Dźwinogród|isr. Mikołajow
82,828,Bóbrka,Bóbrka,Ernsdorf,Ernsdorf,,Bóbrka,Bóbrka u Łany,,"rk.|isr. Bóbrka|grk. Bóbrka u. Łany,"
83,828,Bóbrka,Bóbrka,Horodysławice,Horodysławice,,Mikołajów,Horodysławice,Czyszki (BH: Lemberg),rk. Czyszki (BH: Lemberg)|grk. Horodysławice|isr. Mikołajów
84,828,Bóbrka,Bóbrka,Hryniów,Hryniów,,Bóbrka,Hryniów,Stare Sioło,rk. Stare Sioło|grk. Hryniów|isr. Bóbrka
85,828,Bóbrka,Bóbrka,Hucisko,Hucisko,,Bóbrka,Suchodół,Rakowiec (BH: Lemberg),rk. Rakowiec (BH: Lemberg)|grk. Suchodół|isr. Bóbrka
86,828,Bóbrka,Bóbrka,Jatwięgi,Jatwięgi,,Strzeliska Nowe,Dziewiętniki,Sokołówka,rk. Sokołówka|grk. Dziewiętniki|isr. Strzeliska Nowe
87,828,Bóbrka,Bóbrka,Kocurów,Kocurów,,Mikołajów,Hryniów,Bóbrka,rk. Bóbrka|grk. Hryniów|isr. Mikołajów
88,828,Bóbrka,Bóbrka,Kołohury,Kołohury,,Bóbrka,Sokołówka,,rk.|grk. Sokołówka|isr. Bóbrka
89,828,Bóbrka,Bóbrka,Łanki Małe,,,Bóbrka,Strzałki,,rk.|isr. Bóbrka|grk. Strzałki
90,828,Bóbrka,Bóbrka,Łany,Łany,,Böbrka,Lany,,rk.|isr. Böbrka|grk. Lany
91,828,Bóbrka,Bóbrka,Łopuszna,Łopuszna,,Bóbrka,Olchowiec,Stare Sioło,rk. Stare Sioło|grk. Olchowiec|isr. Bóbrka
92,828,Bóbrka,Bóbrka,Lubeszka,Lubeszka,,Strzeliska Nowe,Bakowce,Böbrka,rk. Böbrka|grk. Bakowce|isr. Strzeliska Nowe
93,828,Bóbrka,Bóbrka,Mikołajów,Mikołajów,,Mikołajów,,Hanaczów (BH: Przemyślany,rk. Hanaczów (BH: Przemyślany|grk.|isr. Mikołajów
94,829,Bóbrka,Bóbrka,Mühlbach,Mühlbach,,Bóbrka,Sokołówka,,rk.|grk. Sokołówka|isr. Bóbrka
95,829,Bóbrka,Bóbrka,Olchowiec,Olchowiec,,Bóbrka,Olchowiec,Stare Sioło,rk. Stare Sioło|grk. Olchowiec|isr. Bóbrka
96,829,Bóbrka,Bóbrka,Pietniczany,Pietniczany,,Bóbrka,Sokołówka,,rk.|grk. Sokołówka|isr. Bóbrka
97,829,Bóbrka,Bóbrka,Podhorodyszcze,Podhorodyszcze,,Mikołajów,Romanów,Bóbrka,rk. Bóbrka|grk. Romanów|isr. Mikołajów
98,829,Bóbrka,Bóbrka,Podjrków,Podjrków,,Mikołajów,Podjrków,Hanaczów (BH: Przemyślany,rk. Hanaczów (BH: Przemyślany|grk. Podjrków|isr. Mikołajów
99,829,Bóbrka,Bóbrka,Podmanasterz,Podmanasterz,,Bóbrka,Podmanasterzisr Bóbrka,Stare Sioło,"rk. Stare Sioło|grk. Podmanasterz,isr. Bóbrka"
100,829,Bóbrka,Bóbrka,Podsosnów,,,Mikołajów,,Hanaczów (BH: Przemyślany),rk. Hanaczów (BH: Przemyślany)|grk.|isr. Mikołajów
101,829,Bóbrka,Bóbrka,Rehfeld,Rehfeld,,Bóbrka,Łany,,rk.|isr. Bóbrka|grk. Łany
102,829,Bóbrka,Bóbrka,Repechów,Repechów,,Strzeliska Nowe,Bakowceisr Strzeliska Nowe,Sokołówka,"rk. Sokołówka|grk. Bakowce,isr. Strzeliska Nowe"
103,829,Bóbrka,Bóbrka,Romanów,Romanów,,Mikołajów,Romanów,Bóbrka,rk. Bóbrka|grk. Romanów|isr. Mikołajów
104,829,Bóbrka,Bóbrka,Sarniki,Sarniki,,Bóbrka,Łany,,rk.|isr. Bóbrka|grk. Łany
105,829,Bóbrka,Bóbrka,Siedliska,Siedliska,,Mikołajów,Siedliskaisr Mikołajów,Świrz (BH: Przemyślany),"rk. Świrz (BH: Przemyślany)|grk. Siedliska,isr. Mikołajów"
106,829,Bóbrka,Bóbrka,Sokołówka,Sokołówka,,Bóbrka,Sokołówka,,rk.|grk. Sokołówka|isr. Bóbrka
107,829,Bóbrka,Bóbrka,Stare Sioło,Stare Sioło,,Böbrka,Szołomyja,Stare Sioło,rk. Stare Sioło|grk. Szołomyja|isr. Böbrka
108,829,Bóbrka,Bóbrka,Stoki,Stoki,,Bóbrka,Strzałki,,rk.|isr. Bóbrka|grk. Strzałki
109,829,Bóbrka,Bóbrka,Strzałki,Strzałki,,Bóbrka,Strzałki,,rk.|isr. Bóbrka|grk. Strzałki
110,829,Bóbrka,Bóbrka,Suchodół,Suchodół,,Bóbrka,Suchodół,Stare Sioło,rk. Stare Sioło|grk. Suchodół|isr. Bóbrka
111,829,Bóbrka,Bóbrka,Szołomyja,Szołomyja,,Mikołajów,Szołomyjaisr Mikołajów,Stare Sioło,"rk. Stare Sioło|grk. Szołomyja,isr. Mikołajów"
112,829,Bóbrka,Bóbrka,Trybuchowce,Trybuchowce,,Strzeliska Nowe,Bakowceisr Strzeliska Nowe,Sokołówka,"rk. Sokołówka|grk. Bakowce,isr. Strzeliska Nowe"
113,829,Bóbrka,Bóbrka,Wodniki,Wodniki,,Bóbrka,Wodniki,Stare Sioło,rk. Stare Sioło|grk. Wodniki|isr. Bóbrka
114,829,Bóbrka,Bóbrka,Wołoszczyzna,Wołoszczyzna,,Bóbrka,Olchowiec,Stare Sioło,rk. Stare Sioło|grk. Olchowiec|isr. Bóbrka
115,829,Bóbrka,Bóbrka,Wołowe,Wołowe,,Bóbrka,,,rk.|grk.|isr. Bóbrka
116,829,Bóbrka,Bóbrka,Wybranówka,Wybranówka,,Bóbrka,Wybranówkaisr Bóbrka,Sokołówka,"rk. Sokołówka|grk. Wybranówka,isr. Bóbrka"
117,829,Bóbrka,Bóbrka,Žabokruki,Žabokruki,,Strzeliska Nowe,Bakowceisr Strzeliska Nowe,Sokołówka,"rk. Sokołówka|grk. Bakowce,isr. Strzeliska Nowe"
118,829,Bóbrka,Chodorów,Borodezyce,Borodczyce,,Chodorów,Zaleśce,,rk.|isr. Chodorów|grk. Zaleśce
119,829,Bóbrka,Chodorów,Bortniki,Bortniki,,Chodorów,Bortniki,,rk.|isr. Chodorów|grk. Bortniki
120,829,Bóbrka,Chodorów,Borynicze,Borynicze,,Brzozdowce,Borynicze,,rk.|isr. Brzozdowce|grk. Borynicze
121,829,Bóbrka,Chodorów,Brzozdowce,Brzozdow.ce,,Brzozdowce,,,rk.|grk.|isr. Brzozdowce
122,829,Bóbrka,Chodorów,Bukawina,Bukawina,,Chodorów,Mołotów,,rk.|isr. Chodorów|grk. Mołotów (Gm. Demidów)
123,829,Bóbrka,Chodorów,Chodorów,Chodorów,,Chodorów,,,rk.|grk.|isr. Chodorów
124,829,Bóbrka,Chodorów,Czartorya,Czartorya,,Brzozdowee,Podniestrzanyisr Brzozdowee,Chodorów,"rk. Chodorów|grk. Podniestrzany,isr. Brzozdowee"
125,829,Bóbrka,Chodorów,Czeremchów,Czeremchów,,Chodorów,Hrehorów,Żurów (BH: Rohatyn),rk. Żurów (BH: Rohatyn)|grk. Hrehorów (BH:Rohatyn)|isr. Chodorów
126,829,Bóbrka,Chodorów,Demidów,Mołotów (Gm. Demidów),,Chodorów,Mołotów,,rk.|isr. Chodorów|grk. Mołotów (Gm. Demidów)
127,829,Bóbrka,Chodorów,Dobrowlany,,,Chodorów,Zagóreczko,,rk.|isr. Chodorów|grk. Zagóreczko
128,829,Bóbrka,Chodorów,Drohowyeze,Drohowycze,,Brzozdowce,Borynicze,,rk.|isr. Brzozdowce|grk. Borynicze
129,829,Bóbrka,Chodorów,Duliby,Duliby,,Strzeliska Nowe,Dulibyisr Strzeliska Nowe,Podkamień (BH: Rohatyn),"rk. Podkamień (BH: Rohatyn)|grk. Duliby,isr. Strzeliska Nowe"
130,829,Bóbrka,Chodorów,Hołdowice,Hołdowice,,Strzeliska Nowe,Hołdowiceisr Strzeliska Nowe,Chodorów,"rk. Chodorów|grk. Hołdowice,isr. Strzeliska Nowe"
131,829,Bóbrka,Chodorów,Horodyszcze Cetnarskie,Horodyszcze Cetnarskie,,Chodorów,Ottyniowice,,rk.|isr. Chodorów|grk. Ottyniowice
132,829,Bóbrka,Chodorów,Horodyszcze Królewskie,Horodyszcze Królewskie,,Chodorów,Ottyniowice,,rk.|isr. Chodorów|grk. Ottyniowice
133,829,Bóbrka,Chodorów,Hranki,Hranki,,Brzozdowce,,,rk.|grk.|isr. Brzozdowce
134,829,Bóbrka,Chodorów,Hrusiatycze,Hrusiatycze,,Strzeliska Nowe,Hrusiatycze,Podkamień (BH: Rohatyn),rk. Podkamień (BH: Rohatyn)|grk. Hrusiatycze|isr. Strzeliska Nowe
135,829,Bóbrka,Chodorów,Juszkowce,Juszkowce,,Strzeliska Nowe,Hołdowiceisr Strzeliska Nowe,",Sokołówka","rk.,Sokołówka|grk. Hołdowice,isr. Strzeliska Nowe"
136,829,Bóbrka,Chodorów,Kniesioło,Kniesioło,,Strzeliska Nowe,,Podkamień (BH: Rohatyn),rk. Podkamień (BH: Rohatyn)|grk.|isr. Strzeliska Nowe
137,829,Bóbrka,Chodorów,Laszki Dolne,Laszki Dolne,,Brzozdowce,Laszki Górne,,rk.|isr. Brzozdowce|grk. Laszki Górne
138,830,Bóbrka,Chodorów,Laszki Górne,Mazury (Gm. Laszki Górne),,Brzozdowce,Laszki Górne,,rk.|isr. Brzozdowce|grk. Laszki Górne
139,830,Bóbrka,Chodorów,Leszczyn,Leszczyn,,Strzeliska Nowe,Leszczyn,Podkamień (BH: Rohatyn),rk. Podkamień (BH: Rohatyn)|grk. Leszczyn|isr. Strzeliska Nowe
140,830,Bóbrka,Chodorów,Luczany,Łuczany,,Strzeliska Nowe,Hołdowice,Chodorów,rk. Chodorów|grk. Hołdowice|isr. Strzeliska Nowe
141,830,Bóbrka,Chodorów,Mołodyńcze,Mołodyńcze,,Chodorów,Mołodyńcze,,rk.|isr. Chodorów|grk. Mołodyńcze
142,830,Bóbrka,Chodorów,Nowosielce,Nowosielce,,Chodorów,Nowosielce,,rk.|isr. Chodorów|grk. Nowosielce
143,830,Bóbrka,Chodorów,Oryszkowce,"Oryszkowce,Kalinówka (Gm. Oryszkowce)",,Strzeliska Nowe,Leszczyn,Podkamień (BH:Rohatyn),rk. Podkamień (BH:Rohatyn)|grk. Leszczyn|isr. Strzeliska Nowe
144,830,Bóbrka,Chodorów,Ostrów,Ostrów,,Brzozdowce,Ostrów,,rk.|isr. Brzozdowce|grk. Ostrów
145,830,Bóbrka,Chodorów,Ottyniowice,Ottyniowice,,Chodorów,Ottyniowice,,rk.|isr. Chodorów|grk. Ottyniowice
146,830,Bóbrka,Chodorów,Podhorce,Podhorce,,Brzozdowce,Stańkowce,,rk.|isr. Brzozdowce|grk. Stańkowce
147,830,Bóbrka,Chodorów,Podniestrzany,Podniestrzany,,Chodorów,Nowosielce,,rk.|isr. Chodorów|grk. Nowosielce
148,830,Bóbrka,Chodorów,Ruda,Ruda,,Brzozdowce,Podniestrzany,,rk.|isr. Brzozdowce|grk. Podniestrzany
149,830,Bóbrka,Chodorów,Stańkowce,Stańkowee,,Brzozdowce,Ostrów,,rk.|isr. Brzozdowce|grk. Ostrów
150,830,Bóbrka,Chodorów,Strzeliska Nowe,Strzeliska Nowe,,Strzeliska Nowe,,,rk.|isr. Brzozdowce|grk. Stańkowce (rk. Podkamień (BH: Rohatyn)|grk.|isr. Strzeliska Nowe
151,830,Bóbrka,Chodorów,Strzeliska Stare,Strzeliska Stare,,Strzeliska Nowe,,Podkamień (B. H. Rohatyn),rk. Podkamień (B. H. Rohatyn)|grk.|isr. Strzeliska Nowe
152,830,Bóbrka,Chodorów,Suchrów,Suchrów,,Chodorów,Suchrów,,rk.|isr. Chodorów|grk. Suchrów
153,830,Bóbrka,Chodorów,Turzanowce,,,Brzozdowce,Stańkowce,,rk.|isr. Brzozdowce|grk. Stańkowce
154,830,Bóbrka,Chodorów,Wierzbica,Wierzbica,,Chodorów,Suchrów,Zurów (BH: Rohatyn),rk. Zurów (BH: Rohatyn)|grk. Suchrów|isr. Chodorów
155,830,Bóbrka,Chodorów,Wołczatycze,Wołczatycze,,Chodorów,,,rk.|grk.|isr. Chodorów
156,830,Bóbrka,Chodorów,Zagóreczko,Zagóreczko,,Chodorów,Zagóreczko,,rk.|isr. Chodorów|grk. Zagóreczko
157,830,Bóbrka,Chodorów,Zaleśce,Zaleśce,,Brzozdowce,Zaleśce,Chodorów,rk. Chodorów|grk. Zaleśce|isr. Brzozdowce
158,830,Bóbrka,Chodorów,Żyrawa,Żyrawa,,Chodorów,Zaleśce,,rk.|isr. Chodorów|grk. Zaleśce
159,830,Bochnia,Bochnia,Baczków,Baczków,,Bochnia,," Krzyżanowice Wielkie,Mikłuszowice","rk. Krzyżanowice Wielkie,Mikłuszowice|isr. Bochnia"
160,830,Bochnia,Bochnia,Barczków,-,,Bochnia,,Ujście Solne,rk. Ujście Solne|isr. Bochnia
161,830,Bochnia,Bochnia,Bessów,Cerekiew,,Bochnia,,Cerekiew,rk. Cerekiew|isr. Bochnia
162,830,Bochnia,Bochnia,Bieńkowice,Bieńkowice,,Bochnia,,Cerekiew,rk. Cerekiew|isr. Bochnia
163,830,Bochnia,Bochnia,Bochnia,Bochnia: 5,,Bochnia,,,rk.|isr. Bochnia
164,830,Bochnia,Bochnia,Bogucice,Bogucice,,Bochnia,,Mikłuszowice,rk. Mikłuszowice|isr. Bochnia
165,830,Bochnia,Bochnia,Borek,Borek,,Bochnia,," Rzezawa,Szczepanów (BH: Brzesko)","rk. Rzezawa,Szczepanów (BH: Brzesko)|isr. Bochnia"
166,830,Bochnia,Bochnia,Bratucice,Okulice (Gm. Bratucice),,Bochnia,,Okulice (Gm. Bratucice),rk. Okulice (Gm. Bratucice)|isr. Bochnia
167,830,Bochnia,Bochnia,Brzeźnica,Brzeźnica,,Wiśnicz Nowy,,Brzeźnica,rk. Brzeźnica|isr. Wiśnicz Nowy
168,830,Bochnia,Bochnia,Buczków,Buczków,,Bochnia,,Okulice (Gm. Bratucice),rk. Okulice (Gm. Bratucice)|isr. Bochnia
169,830,Bochnia,Bochnia,Buczyna,Buczyna,,Wiśnicz Nowy,,Sobolów,rk. Sobolów|isr. Wiśnicz Nowy
170,830,Bochnia,Bochnia,Cerekiew,Cerekiew,,Bochnia,,Cerekiew,rk. Cerekiew|isr. Bochnia
171,830,Bochnia,Bochnia,Chełm,Chełm,,Bochnia,,Chehu,rk. Chehu|isr. Bochnia
172,830,Bochnia,Bochnia,Chodenice,Bochnia: 5,,Bochnia,,,rk.|isr. Bochnia
173,830,Bochnia,Bochnia,Chrostowa,,,Wiśniez Nowy,," Sobolów,Niegowić","rk. Sobolów,Niegowić|isr. Wiśniez Nowy"
174,830,Bochnia,Bochnia,Cikowice,Cikowice,,Bochnia,,Lapezyca,rk. Lapezyca|isr. Bochnia
175,830,Bochnia,Bochnia,Dąbrowica,Dąbrowica,,Wiśnicz Nowy,,Chełm,rk. Chełm|isr. Wiśnicz Nowy
176,830,Bochnia,Bochnia,Dabrówka,Buczków,,Bochnia,,Okulice (Gm. Bratucice),rk. Okulice (Gm. Bratucice)|isr. Bochnia
177,830,Bochnia,Bochnia,Damienice,Damienice,,Bochnia,,Łapczyca,rk. Łapczyca|isr. Bochnia
178,830,Bochnia,Bochnia,Drwinia,Drwinia,,Bochnia,,Mikłuszowice,rk. Mikłuszowice|isr. Bochnia
179,830,Bochnia,Bochnia,Dziewin,Dziewin,,Bochnia,,Mikłuszowice,rk. Mikłuszowice|isr. Bochnia
180,830,Bochnia,Bochnia,Gawłów,Gawłów Stary (Gm. Gawłów),,Bochnia,,Krzyżanowice Wielkie,rk. Krzyżanowice Wielkie|isr. Bochnia
181,830,Bochnia,Bochnia,Gawłówek,Gawłówek,,Bochnia,,Mikłuszowice,rk. Mikłuszowice|isr. Bochnia
182,830,Bochnia,Bochnia,Gierczyce,Gierezyce,,Wiśnicz Nowy,,Chełm,rk. Chełm|isr. Wiśnicz Nowy
183,830,Bochnia,Bochnia,Gorzków,Gorzków,,Wiśnicz Nowy,,Brzeźnica,rk. Brzeźnica|isr. Wiśnicz Nowy
184,830,Bochnia,Bochnia,Grabina,Buczyna,,Wiśnicz Nowy,,Sobolów,rk. Sobolów|isr. Wiśnicz Nowy
185,830,Bochnia,Bochnia,Grobla,"(Grobla,Ispina (Gm. Grobla),Krzykówka (Gm. Grobla)",,Bochnia,," Mikłuszowice,Zabierzów","rk. Mikłuszowice,Zabierzów|isr. Bochnia"
186,830,Bochnia,Bochnia,Jodłówka,Jodłówka,,Bochnia,," Rzezawa,Szczepanów (Gm. Brzesko)","rk. Rzezawa,Szczepanów (Gm. Brzesko)|isr. Bochnia"
187,831,Bochnia,Niepołomice,Kolanów,Bochnia : 5,Bochnia (SD),Bochnia,,,rk.|isr. Bochnia
188,831,Bochnia,Niepołomice,Krzeczów,Krzeczów,Bochnia (SD),Bochnia,,Rzezawa,rk. Rzezawa|isr. Bochnia
189,831,Bochnia,Niepołomice,Krzyżanowice Wielkie,Krzyżanowice Wielkie,Bochnia (SD),Bochnia,,Krzyżanowice Wielkie,rk. Krzyżanowice Wielkie|isr. Bochnia
190,831,Bochnia,Niepołomice,Łapczyca,Łapczyca,Bochnia (SD),Bochnia,,Łapczyca,rk. Łapczyca|isr. Bochnia
