line_id,code,jg_id,ejl_line,name,dist,prov,area,region,prov1900,prov1930,jg_dist,jg_dist1930,country1900,country1930
729,GLC_LWW_KRCZ,-1041320,2456,Kharkov,Kharkov,Kharkov,Mainland Russia,Kharkov,Kharkov,Ukraine SSR,Khar'kov,Kharkov,Russian Empire,Soviet Union
730,MNS_NVG_KRLC,-1041550,2458,Khashchevata,Gaisin,Podolia,Pale,Odessa,Podolia,Ukraine SSR,Gaisin,Odessa,Russian Empire,Soviet Union
731,CRN_SSN_KRKV,-1041356,2459,Kherson,Kherson,Kherson,Pale,Nikolaiev,Kherson,Ukraine SSR,Kherson,Nikolaiev,Russian Empire,Soviet Union
732,MGL_RGC_KRM,-2925583,2460,Khislavichi,Mstislavl,Mogilev,Pale,Smolensk,Mogilev,Russian SSR,Mstislavl',Smolensk,Russian Empire,Soviet Union
733,KIV_SKV_KRNN,-1041424,2462,Khmielnik,Litin,Podolia,Pale,Vinnitsa,Podolia,Ukraine SSR,Litin,Vinnitsa,Russian Empire,Soviet Union
734,VLH_ZSL_KRNT,-1041445,2463,Khodaki,Ovruch,Volhynia,Pale,Zhitomir,Volhynia,Ukraine SSR,Ovruch,Zhitomir,Russian Empire,Soviet Union
735,GLC_TRN_KRLW,-1041450,2464,Khodorkov,Skvira,Kiev,Pale,Zhitomir,Kiev,Ukraine SSR,Skvira,Zhitomir,Russian Empire,Soviet Union
736,PRU_PSN_KRNA,-1944105,2465,Khoiniki,Riechitsa,Minsk,Pale,Polesie,Minsk,Belarus SSR,Riechitsa,Polesie,Russian Empire,Soviet Union
737,CRN_KRL_KRP,-1944027,2468,Kholmech,Riechitsa,Minsk,Pale,Gomel,Minsk,Belarus SSR,Riechitsa,Gomel,Russian Empire,Soviet Union
738,GLC_TRN_KRPC,-1944043,2469,Kholopenichi,Borisov,Minsk,Pale,Minsk,Minsk,Belarus SSR,Borisov,Minsk,Russian Empire,Soviet Union
739,VLH_OVR_ISKR,-1041516,2471,Khorol,Khorol,Poltava,Pale,Poltava,Poltava,Ukraine SSR,Khorol,Poltava,Russian Empire,Soviet Union
740,KIV_RDM_KRST,-1944086,2472,Khotimsk,Klimovichi,Mogilev,Pale,Mogilev,Mogilev,Belarus SSR,Klimovichi,Mogilev,Russian Empire,Soviet Union
741,KIV_KNV_KRSN,-1944097,2473,Khotovizh,Klimovichi,Mogilev,Pale,Mogilev,Mogilev,Belarus SSR,Klimovichi,Mogilev,Russian Empire,Soviet Union
742,VLH_KVL_KRTL,-1043997,2475,Kiblich,Gaisin,Podolia,Pale,Vinnitsa,Podolia,Ukraine SSR,Gaisin,Vinnitsa,Russian Empire,Soviet Union
743,VLH_NVG_KRTS,-507561,2477,Kielce,Kielce,Kielce,Congress Poland,Kielce,Kielce,Kielce,Kiel'tsy,Kielce,Russian Empire,Poland
744,POD_LMP_VLKK,,2478,Kielczyglow,Wielun,Piotrkow,Congress Poland,Lodz,,,,,,
745,GLC_STN_KSW,-1943745,2479,Kemelishki,Sventsiany,Vilna,Pale,Vilna,Vilna,Wilno,Sventsiany,Święciany,,Soviet Union
746,SDL_SKL_KSSW,-507637,2480,Kiernozia,Gostyn,Warszawa,Congress Poland,Warsaw,Warszawa,Warszawa,Gostynin,Łowicz,Russian Empire,Poland
747,GRD_SLN_KSSV,-1044367,2481,Kiev,Kiev,Kiev,Pale,,Kiev,Ukraine SSR,Kiev,Kiev,Russian Empire,Soviet Union
748,VLH_RVN_KSTP,-507725,2483,Kikół,Lipno,Plock,Congress Poland,Warsaw,Płock,Warszawa,Lipno,Lipno,Russian Empire,Poland
749,MGL_KLM_KSTK,-1041921,2484,Kilikiev,Ostrog,Volhynia,Pale,Kamenets-Podolski,Volhynia,Ukraine SSR,Ostrog,Kamenets-Podolski,Russian Empire,Soviet Union
750,KLC_PNC_KSZY,-1041993,2495,Elisavetgrad,Elizavetgrad,Kherson,Pale,Kirovograd,Kherson,Ukraine SSR,Elizavetgrad,Kirovograd,Russian Empire,Soviet Union
751,LBL_LBR_KTN,-1042031,2499,Kiselik,Vladimir-Volynskii,Volhynia,Pale,Volhynia,Volhynia,Wołyń,Vladimir-Volynskii,Horochów,Russian Empire,Soviet Union
