line_id,jg_id,ejl_line,name,enc_name,jg_name,name1900,name1930,name1945
483,-1039211,1683,Golovanevsk,GOLOVANEVSK,Holovanivsk,Golovanevsk,Golovanevsk,Golovanevsk
484,-1943134,1684,Golovchin,GOLOVCHIN,Golovchin,Golovchin,Golovchin,Golovchin
485,-502272,1685,Golub / Dobrzyń,GOLUB-DOBRZYN,Golub Dobrzyn,Golub / Dobrzyń,Golub / Dobrzyń nad Drwęcą,Golub-Dobrzyń
486,-2913313,1687,Gumbinnen,GOMBIN,Gusev,Gumbinnen,Gumbinnen,Gusev
487,-1943559,1688,Gomel,GOMEL (I),Homyel,Gomel,Gomel,Gomel
488,-502306,1692,Goniondz,GONIONDZ,Goniadz,Gonyendz,Goniądz,Goniądz
489,-502348,1694,Goraj,GORAJ,Goraj,Goraj,Goraj,Goraj
490,-502357,1695,Góra Kalwaria,GORA KALWARIA,Gora Kalwaria,Góra Kalwaria,Góra Kalwaria,Góra Kalwaria
491,,1696,Gora Wisniowa,GORA WISNIOWA,Kolonia Izaaka,Kolonia Izaaka,Kolonia Izaaka,
492,-1047425,1700,Gorkaia,GORKAYA,Nazarovicheva,Gorkaya,Gorkaya,Nazarovicheva
493,-1943561,1701,Gorki,GORKI,Horki,Gorki,Gorki,Gorki
494,-502493,1702,Gorlice,GORLICE,Gorlice,Gorlice,Gorlice,Gorlice
495,-1040044,1703,Gorlovka,GORLOVKA,Horlivka,Gorlovka,Gorlovka,Gorlovka
496,-1039397,1705,Gornostaipol,GORNOSTIPOL,Hornostaipil,Gornostaypol,Gornostaypol,Gornostaypol
497,-1946198,1706,Gorodets,GORODETS,Merkulovichi,Gorodets,Gorodets,Merkulovichi
498,-1943311,1707,Gorodok,GORODOK (I),Haradok,Gorodok,Gorodok,Gorodok
499,-1040045,1708,Gorodok,GORODOK (II),Horodok,Gorodok,Gorodok,Gorodok
500,-1039430,1709,Gorodishche,GORODYSHCHE,Horodyshche,Gorodishche,Gorodyshche,Gorodishche
501,-1943333,1711,Gorval,GORVAL,Horval,Gorval,Gorval,Gorval
502,-1943335,1712,Gory,GORY,Gory,Gory,Gory,Gory
503,-502638,1713,Gorzków,GORZKOW,Gorzkow,Gorzków,Gorzków,Gorzków
504,-3208533,1716,Glazmanka,GOSTINI,Gostini,Glazmanka,Gostiņi,Gostiņi
505,-1039545,1717,Gostomel,GOSTOMYL,Hostomel,Gostomel',Gostomel',Gostomel'
506,-502790,1718,Gostynin,GOSTYNIN,Gostynin,Gostynin,Gostynin,Gostynin
507,-502809,1719,Goszczyn,GOSZCZYN,Goszczyn,Goszczyn,Goszczyn,Goszczyn
508,-502823,1722,Gowarczów,GOWARCHOW,Gowarczow,Gowarczów,Gowarczów,Gowarczów
509,-502836,1723,Govorovo,GOWOROWO,Goworowo,Goworowo,Goworowo,Goworowo
510,-502639,1724,Gorzkowice,GOZHKOWICE,Gorzkowice,Gorzkowice,Gorzkowice,Gorzkowice
511,-502999,1726,Grabów,GRABOW,Grabow,Grabów,Grabów,Grabów
512,-1039563,1727,Grabowiec,GRABOWIEC (I),Hrabovets,Grabowiec,Grabowiec,Grabovets
513,-503028,1728,Grabowiec,GRABOWIEC (II),Grabowiec,Grabowiec,Grabowiec,Grabowiec
514,-503067,1729,Grabow,GRABOW NAD PROSNA,Grabow Nad Prosna,Grabow,Grabów nad Prosną,Grabów nad Prosną
515,-1039586,1730,Gradizhsk,GRADIZHSK,Hradyzk,Gradizhsk,Gradizhsk,Gradizhsk
516,-503182,1732,Graevo,GRAJEWO,Grajewo,Grajewo,Grajewo,Grajewo
517,-503195,1733,Granica,GRANICA (I),Granica,Granica,Granica,Granica
518,-1039604,1735,Granov,GRANOV,Hraniv,Granov,Granov,Granov
519,-1039617,1739,Grebenki,GREBENKI,Hrebinky,Grebenki,Grebenki,Grebenki
2678,-503594,1741,Gryfice,GREIFENBERG,Gryfice,Greifenberg,Greifenberg,Gryfice
520,-503595,1742,Greifenhagen,GREIFENHAGEN,Gryfino,Greifenhagen,Greifenhagen,Gryfino
2681,-1778917,1743,Greifswald,GREIFSWALD,Greifswald,Greifswald,Greifswald,Greifswald
521,-503254,1744,Grembow,GREMBOW,,,,
522,-1943387,1747,Gresk,GRESK,Gresk,Gresk,Gresk,Gresk
523,-2276420,1751,Grigoriopol,GRIGORIOPOL,Grigoriopol,Grigoriopol,Grigoriopol,Grigoriopol
524,-2614598,1753,Grinkishki,GRINKISKIS,Grinkiskis,Grinkishki,Grinkiškis,Grinkiškis
525,-2614600,1754,Grishkobuda,GRISKABUDIS,Griskabudis,Gryszkabuda,Griškabūdis,Griškabūdis
526,-1039744,1755,Gritsev,GRITSEV,Hritsiv,Gritsev,Gritsev,Gritsev
527,-3208597,1756,Griva,GRIVA,Griva,Griva,Grīva,Grīva
528,-3208605,1757,Grobin,GROBINA,Grobina,Grobin,Grobiņa,Grobiņa
529,-1039483,1758,Gródek,GRODEK JAGIELLONSKI,Horodok,Gródek,Gródek Jagielloński,Gorodok
530,-503535,1759,Gorodok,GRODEK SOKOLSKI,Grodek,Gródek,Gródek,Gródek
531,-1943310,1760,Gorodok,GRODEK WILENSKI,Haradok,Gródek,Gródek,Gorodok
532,-1943562,1761,Grodno,GRODNO,Hrodna,Grodno,Grodno,Grodno
533,-503386,1763,Grodziec,GRODZIEC,Grodziec,Grodziec,Grodziec,Grodziec
534,-503407,1764,Grodzisk,GRODZISK,Grodzisk Mazowiecki,Grodzisk,Grodzisk Mazowiecki,Grodzisk Mazowiecki
535,-503428,1766,Grätz,GRODZISK WIELKOPOLSKI,Grodzisk Wielkopolski,Grätz,Grodzisk Wielkopolski,Grodzisk Wielkopolski
536,-503449,1769,Grójec,GROJEC,Grojec,Grójec,Grójec,Grójec
537,-503292,1770,Grocholice,GROKHOLICE,Grocholice,Grocholice,Grocholice,Grocholice
538,-503472,1772,Gromnik,GROMNIK,Gromnik,Gromnik,Gromnik,Gromnik
539,-1042435,1773,Gromokleia,GROMOKLEYA,Koloniya Gromokley,Gromokley,Gromokley,Koloniya Gromokley
540,-219456,1782,Gross-Kackschen,GROSS-KACKSCHEN,,,,
2733,-530753,1789,Strzelce Opolskie,GROSS-STREHLITZ,Strzelce Opolskie,Groß Strehlitz,Groß Strehlitz,Strzelce Opolskie
541,-1057823,1790,Grossulovo,GROSSULOVO,Velyka Mykhaylivka,Grosulovo,Grosulovo,Velikaya Mikhaylovka
2759,-531689,1792,Sycow,GROSS WARTENBERG,Sycow,Gross Wartenberg,Gross Wartenberg,Syców
2737,-503349,1794,Grodkow,GROTTKAU,Grodkow,Grottkau,Grottkau,Grodków
542,-1943445,1795,Grozov,GROZOVO,Grozovo,Grozovo,Grozovo,Grozovo
543,-503551,1796,Graudenz,GRUDZIONDZ,Grudziadz,Graudenz,Grudziądz,Grudziądz
