code,id,name,dist,prov,code_prov,code_dist
GRD_BLS_NMRW,-518245,Niemirow,Bielsk,Grodno,11,4
GLC_BCH_NPLM,-518285,Niepolomice,Bochnia,Galicia,62,2
WRS_NSH_NSZW,-518342,Nieszawa,Neshava,Warsaw,51,8
GLC_NSK_NSK,-518436,Nisko,Nisko,Galicia,62,33
PTR_BND_NWK,-518458,Niwka,Bendin,Piotrkow,56,2
KLC_KLT_NWSL,-518599,Nowa Slupia,Kiel'tsy,Kielce,53,1
PRU_SCH_NWSL,-518601,Nowa Sol,Schlesien,Prussia,,
KLC_MKH_NWBR,-518798,Nowe Brzesko,Miekhov,Kielce,53,4
WRS_PLN_NWMS,-518853,Nowe Miasto,Plonsk,Warsaw,51,10
PRU_WST_NWMS,-518856,Nowe Miasto Lubawskie,Westpreußen,Prussia,,
PTR_RV_NWMS,-518857,Nowe Miasto Nad Pilica,Rava,Piotrkow,56,7
PRU_PSN_NWMS,-518858,Nowe Miasto Nad Warta,Posen,Prussia,,
LMZ_LMZ_NWGR,-518975,Nowogrod,Lomzha,Lomza,54,1
GRD_SKL_NWYD,-519062,Nowy Dwor,Sokolki,Grodno,11,9
WRS_WRS_NWYD,-519071,Nowy Dwor Mazowiecki,Warsaw,Warsaw,51,1
KLC_PLN_NWYK,-519097,Nowy Korczyn,Stopnica,Kielce,,
GLC_NWY_NWYS,-519123,Nowy Sacz,Nowy Sącz,Galicia,62,15
GLC_NWY_NWYT,-519152,Nowy Targ,Nowy Targ,Galicia,62,16
GLC_BCH_NWYW,-519160,Nowy Wisnicz,Bochnia,Galicia,62,2
GLC_JSL_NWYZ,-519166,Nowy Zmigrod,Jasło,Galicia,62,9
LMZ_OST_NR,-519177,Nur,Ostrov,Lomza,54,5
PRU_SCH_NYS,-519190,Nysa,Schlesien,Prussia,,
PRU_PSN_OBRN,-519253,Oborniki,Posen,Prussia,,
PRU_PSN_OBRZ,-519313,Obrzycko,Posen,Prussia,,
PRU_PSN_ODLN,-519402,Odolanow,Posen,Prussia,,
RDM_OPC_ODRZ,-519430,Odrzywol,Opochno,Radom,58,6
