code,id,name,lon,lat
VLH_LTS_BLSH,-1036071,Bol'shoy Zhelutsk,51.31666667,26.11666667
GLC_TRK_BRYN,-1036118,Borynya,49.06666667,23
GLC_DRH_BRYS,-1036121,Boryslav,49.28333333,23.41666667
PLT_PRS_BRYS2,-1036130,Boryspil,50.35,30.95
KRP_BRG_BRBV,-1036154,Barbovo,48.35,22.76666667
KV_KV_BRDY,-1036155,Borodyanka,50.65,29.98333333
PDL_IMP_BRVK,-1036183,Borivka,48.51666667,28.25
KV_SKV_BRSH,-1036201,Borshchahivka,49.48333333,29.53333333
GLC_BRS_BRSH,-1036203,Borshchiv,48.8,26.05
GLC_LWW_BRSH,-1036218,Borshchovychi,49.86666667,24.26666667
CHR_BRZ_BRZN,-1036254,Borzna,51.25,32.43333333
BKV_SDG_BYNY,-1036272,Boyany,48.28333333,26.13333333
KV_ZVN_BYRK,-1036274,Boyarka,49.33333333,30.66666667
PDL_VNN_BRLV,-1036303,Brailiv,49.1,28.16666667
KHR_ALK_BRTL,-1036326,Bratoliubivka,48.21666667,32.96666667
KHR_ELZ_BRTS,-1036330,Brats'ke,47.86666667,31.58333333
PDL_BRT_BRTS,-1036331,Bratslav,48.83333333,28.95
KRP_BRG_BRD,-1036363,Brid,48.35,23.01666667
GLC_BRD_BRDY,-1036374,Brody,50.08333333,25.15
MRM_MRM_BRNK,-1036384,Bronka,48.4,23.28333333
GLC_KLS_BRSH,-1036390,Broshniv Osada,49,24.18333333
CHR_OST_BRVR,-1036400,Brovary,50.5,30.76666667
KV_RDM_BRSL,-1036408,Brusilov,50.28333333,29.53333333
EKT_SLV_BRYN,-1036421,Bryanka,48.5,38.66666667
GLC_BCZ_BCHC,-1036442,Buchach,49.08333333,25.4
GLC_CZR_BDNV,-1036463,Budaniv,49.16666667,25.71666667
GLC_RHT_BKCH,-1036565,Bukachivtsi,49.25,24.5
KV_UMN_BKY,-1036577,Buky,49.08333333,30.41666667
KRP_BRG_BKVT,-1036584,Bukovets,48.61666667,23.36666667
HNG_MRM_BKVT,-1036585,Bukovets,48.86666667,22.93333333
GLC_PDH_BRKN,-1036638,Burkaniv,49.28333333,25.38333333
GLC_RHT_BRSH,-1036656,Burshtyn,49.26666667,24.63333333
MRM_MRM_BSHT,-1036685,Bushtyno,48.05,23.48333333
GLC_KMN_BSK,-1036687,Busk,49.96666667,24.63333333
KHR_TRS_BZYN,-1036734,Buzynove,46.98333333,30.48333333
VLH_ZHT_BYKV,-1036767,Bykivka,50.28333333,27.98333333
KV_KV_BYSH,-1036778,Byshiv,50.26666667,29.88333333
KRP_BRG_BYST,-1036797,Bystrytsya,48.46666667,22.83333333
PDL_OLG_CHCH,-1036900,Chechelnyk,48.21666667,29.36666667
PDL_KMN_CHMR,-1036928,Chemerivtsi,49,26.36666667
MRM_UGC_CHP,-1036934,Chepa,48.06666667,23.01666667
VLH_KVL_CHRM,-1036958,Cheremoshno,51.31666667,25.01666667
BKV_STR_CHRS,-1036976,Cheresh,48.1,25.6
KV_CHR_CHRK,-1037001,Cherkasy,49.43333333,32.06666667
MRM_UGC_CHRN,-1037016,Cherna,48.13333333,23.18333333
GLC_HRD_CHRN,-1037037,Chernelytsya,48.81666667,25.43333333
GLC_RHT_CHRN,-1037048,Cherniv,49.26666667,24.45
PDL_IMP_CHRN,-1037051,Chernivtsi,48.53333333,28.11666667
CHR_CHR_CHRN,-1037057,Chernihiv,51.5,31.3
BKV_CZR_CHRN,-1037073,Chernivtsi,48.3,25.93333333
KRP_UNG_CHRN,-1037085,Chornoholova,48.85,22.61666667
MRM_UGC_CHRN2,-1037114,Chornotysiv,48.08333333,23.05
PLT_LKH_CHRN,-1037123,Chornukhy,50.26666667,32.95
VLH_ZHT_CHRN,-1037129,Chernyakhov,50.45,28.66666667
GLC_HRD_CHRN2,-1037140,Chernyatyn,48.66666667,25.45
PDL_PRS_CHRN,-1037164,Chornyi Ostriv,49.5,26.75
KRP_BRG_CHRN,-1037167,Chornyi Potik,48.4,23
GLC_HRD_CHRT,-1037182,Chortovets,48.7,25.28333333
VLH_KRM_RDYV,-1037228,Radyvyliv,50.13333333,25.25
VLH_ZHT_CHRV,-1037237,Chervonoarmiys'k,50.46666667,28.26666667
GLC_SKL_CHRV,-1037239,Chervonohrad,50.38333333,24.23333333
VLH_ZHT_CHRV2,-1037255,Chervone,49.96666667,28.86666667
KV_CHG_CHYH,-1037320,Chyhyryn,49.06666667,32.66666667
KRP_BRG_CHYN,-1037330,Chynadiyovo,48.48333333,22.83333333
KRP_UNG_CHP,-1037384,Chop,48.43333333,22.2
KV_RDM_CHPV,-1037385,Chopovichi,50.83333333,28.95
KV_RDM_CHRN,-1037390,Chornobyl,51.26666667,30.23333333
GLC_CZR_CHRT,-1037393,Chortkiv,49.01666667,25.8
VLH_ZHT_CHDN,-1037412,Chudniv,50.05,28.11666667
KHR_ZMV_CHHY,-1037419,Chuhuyiv,49.83333333,36.68333333
MRM_MRM_DNYL,-1037507,Danylovo,48.15,23.45
GLC_TRM_DRKH,-1037514,Darakhov,49.3,25.55
KV_LPV_DSHV,-1037533,Dashiv,49,29.45
VLH_KVL_DTYN,-1037541,Datyn',51.51666667,24.76666667
BKV_KTZ_DVYD,-1037543,Davydivtsi,48.48333333,25.7
GLC_KMN_DDYL,-1037569,Didyliv,49.93333333,24.36666667
VLH_OVR_DDKV,-1037570,Dedkovichi,51.1,28.83333333
KRP_BRG_DYYD,-1037574,Dyyda,48.21666667,22.56666667
MRM_MRM_DLV,-1037590,Dilove,47.93333333,24.16666667
GLC_NDW_DLYT,-1037591,Delyatyn,48.53333333,24.63333333
VLH_DBN_DMYD,-1037610,Demydivka,50.41666667,25.33333333
VLH_RVN_DRZH,-1037663,Derazhne,50.86666667,26.05
PDL_LTC_DRZH,-1037664,Derazhnya,49.26666667,27.43333333
BKV_WZN_DKHT,-1037755,Dikhtinets,48.05,25.03333333
GLC_KMN_DMYT,-1037796,Dmytriv,50.2,24.61666667
KHR_ALK_DMYT,-1037811,Dmytrivka,48.8,32.71666667
CHR_KNT_DMYT,-1037824,Dmytrivka,50.93333333,32.96666667
EKT_EKT_DNPR,-1037863,Dniprodzerzhyns'k,48.5,34.61666667
EKT_EKT_DNPR2,-1037865,Dnipro,48.45,34.98333333
GLC_DBR_DBRM,-1037886,Dobromil,49.56666667,22.78333333
KRP_BRG_BN,-1037898,Bene,48.16666667,22.76666667
GLC_KMN_DBRT,-1037903,Dobrotvor,50.23333333,24.36666667
KHR_ELZ_DBRV,-1037907,Dobrovelychkivka,48.38333333,31.18333333
KHR_KHR_DBR,-1037927,Dobre,47.31666667,32.45
CHR_GRD_DBRY,-103793,Dobryanka,52.06666667,31.18333333
TRD_EVP_DBRS,-1037933,Dobrushyne,45.36666667,33.36666667
MRM_MRM_DBRY,-1037940,Dobryanskoye,48.06666667,23.71666667
MRM_MRM_DVH,-1037987,Dovhe,48.36666667,23.28333333
GLC_DRH_DVH,-1037988,Dovhe,49.16666667,23.35
GLC_TRM_DLYN,-1038001,Dolyna,49.21666667,25.71666667
KHR_ALK_DLYN,-1038013,Dolyns'ka,48.11666667,32.76666667
