code,id,name,enc_name,enc_page
KHR_ELZ_BBRY,-1035801,Bobrynets,BOBRINETS,158
KRP_BRG_BDLV,-1035815,Badalovo,,
PDL_BLT_BHCH,-1035818,Bahachivka,BOGACHEVKA,164
MRM_MRM_BHDN,-1035838,Bohdan,BOHDAN,165
GLC_BHR_BHRD,-1035903,Bohorodchany,,
KV_KNV_BHSL,-1035923,Bohuslav,BOGUSLAV,165
GLC_DLN_BLKH,-1035940,Bolekhiv,BOLECHOW,166
BSS_IZM_BLHR,-1035949,Bolhrad,BOLGRAD,166
KV_BRD_VLKY,-1036032,Veliky Nyzhirtsi,BOLSHIYE NEZGORTSI,168
GLC_RHT_BLSH,-1036038,Bilshivtsi,BOLSZOWCE,168
VLH_LTS_BLSH,-1036071,Bol'shoy Zhelutsk,ZOLUDZK,1518
GLC_TRK_BRYN,-1036118,Borynya,BORYNIA,174
GLC_DRH_BRYS,-1036121,Boryslav,BORYSLAW,174
PLT_PRS_BRYS2,-1036130,Boryspil,BORYSOPOL,176
KRP_BRG_BRBV,-1036154,Barbovo,,
KV_KV_BRDY,-1036155,Borodyanka,BORODIANKA,173
PDL_IMP_BRVK,-1036183,Borivka,BOROVKA,173
KV_SKV_BRSH,-1036201,Borshchahivka,BORSHCHAGOVKA,174
GLC_BRS_BRSH,-1036203,Borshchiv,BORSZCZOW,174
GLC_LWW_BRSH,-1036218,Borshchovychi,,
CHR_BRZ_BRZN,-1036254,Borzna,BORZNA,176
BKV_SDG_BYNY,-1036272,Boyany,BOIAN,165
KV_ZVN_BYRK,-1036274,Boyarka,BOJARKA,165
PDL_VNN_BRLV,-1036303,Brailiv,BRAILOW,180
KHR_ALK_BRTL,-1036326,Bratoliubivka,BRATOLIUBOVKA,184
KHR_ELZ_BRTS,-1036330,Brats'ke,BRATSKOYE,185
PDL_BRT_BRTS,-1036331,Bratslav,BRATSLAW,185
KRP_BRG_BRD,-1036363,Brid,BROD,200
GLC_BRD_BRDY,-1036374,Brody,BRODY,201
MRM_MRM_BRNK,-1036384,Bronka,,
GLC_KLS_BRSH,-1036390,Broshniv Osada,BROSZNIOW,202
CHR_OST_BRVR,-1036400,Brovary,BROVARY,203
KV_RDM_BRSL,-1036408,Brusilov,BRUSILOV,204
EKT_SLV_BRYN,-1036421,Bryanka,BRIANKA,197
GLC_BCZ_BCHC,-1036442,Buchach,BUCZACZ,212
GLC_CZR_BDNV,-1036463,Budaniv,BUDZANOW,68
GLC_RHT_BKCH,-1036565,Bukachivtsi,BUKACZOWCE,221
KV_UMN_BKY,-1036577,Buky,BUKI,221
KRP_BRG_BKVT,-1036584,Bukovets,,
HNG_MRM_BKVT,-1036585,Bukovets,,
GLC_PDH_BRKN,-1036638,Burkaniv,BURKANOW,223
GLC_RHT_BRSH,-1036656,Burshtyn,BURSZTYN,99
MRM_MRM_BSHT,-1036685,Bushtyno,BUSTINO,224
GLC_KMN_BSK,-1036687,Busk,BUSK,224
KHR_TRS_BZYN,-1036734,Buzynove,BUZINOVO,227
VLH_ZHT_BYKV,-1036767,Bykivka,BIKOVKA,148
KV_KV_BYSH,-1036778,Byshiv,BYSHEV,228
KRP_BRG_BYST,-1036797,Bystrytsya,,
PDL_OLG_CHCH,-1036900,Chechelnyk,CHECHELNIK,242
PDL_KMN_CHMR,-1036928,Chemerivtsi,CHEMEROVTSY,244
MRM_UGC_CHP,-1036934,Chepa,CHEPA,245
VLH_KVL_CHRM,-1036958,Cheremoshno,CZEREMOSZNO,288
BKV_STR_CHRS,-1036976,Cheresh,CIRESI,262
KV_CHR_CHRK,-1037001,Cherkasy,,
MRM_UGC_CHRN,-1037016,Cherna,CHERNA,247
GLC_HRD_CHRN,-1037037,Chernelytsya,CZERNELICA,288
GLC_RHT_CHRN,-1037048,Cherniv,CZERNIEJOW,289
PDL_IMP_CHRN,-1037051,Chernivtsi,CHERNEVTSY,247
CHR_CHR_CHRN,-1037057,Chernihiv,CHERNIGOV,247
BKV_CZR_CHRN,-1037073,Chernivtsi,CERNAUTI,237
KRP_UNG_CHRN,-1037085,Chornoholova,CERNOHLAVA,238
MRM_UGC_CHRN2,-1037114,Chornotysiv,CHERNY ARDOV,248
PLT_LKH_CHRN,-1037123,Chornukhy,CHERNUKHI,248
VLH_ZHT_CHRN,-1037129,Chernyakhov,CHERNIAKHOV,247
GLC_HRD_CHRN2,-1037140,Chernyatyn,CZERNIATYN,289
PDL_PRS_CHRN,-1037164,Chornyi Ostriv,CHERNYI OSTROV,248
KRP_BRG_CHRN,-1037167,Chornyi Potik,,
GLC_HRD_CHRT,-1037182,Chortovets,CZORTOWIEC,290
VLH_KRM_RDYV,-1037228,Radyvyliv,RADZIWILOW,1051
VLH_ZHT_CHRV,-1037237,Chervonoarmiys'k,KRANOARMIEYSK,671
GLC_SKL_CHRV,-1037239,Chervonohrad,KRYSTYNOPOL,684
VLH_ZHT_CHRV2,-1037255,Chervone,CHERVONNOYE,249
KV_CHG_CHYH,-1037320,Chyhyryn,CHIGIRIN,249
KRP_BRG_CHYN,-1037330,Chynadiyovo,,
KRP_UNG_CHP,-1037384,Chop,CHOP,269
KV_RDM_CHPV,-1037385,Chopovichi,CHOPOVICHI,255
KV_RDM_CHRN,-1037390,Chornobyl,CHERNOBYL,248
GLC_CZR_CHRT,-1037393,Chortkiv,CZORTKOW,289
VLH_ZHT_CHDN,-1037412,Chudniv,CHUDNOV,257
KHR_ZMV_CHHY,-1037419,Chuhuyiv,CHUGUYEV,258
MRM_MRM_DNYL,-1037507,Danylovo,DANILOVO,292
